name,telephoneNumber,mail,physicalAddress,postalAddress
Numbulwar Pre School,(08) 8975 4650,,"N/A, Numbulwar, NT",", , , "
Nyirripi School,(08) 8956 8880,ken.millar@education.nt.gov.au,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT"
Nyangatjatjara College - Docker Rvr Campus,(08) 8956 7098,ceo@nyangatjatjaracollege.org.au,"N/A, Kaltukatjara (Docker River), NT","PO Box 171, Yulara, 0872, NT"
Numbulwar School,(08) 8975 4650,stephanie.valcanis@education.nt.gov.au,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT"
Ntaria School,(08) 8956 7424,emma.langton@education.nt.gov.au,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT"
NT School of Distance Education,(08) 892 22222,ntsde.admin@education.nt.gov.au,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT"
NT Music School,(08) 896 35550,nt.musicschool@education.nt.gov.au,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT"
Nightcliff Pre School,(08) 8948 8488,,"17 Pandanus St, Nightcliff, NT",", , , "
Nhulunbuy Pre School,(08) 8987 1056,,"36 Chesterfield Cct, Nhulunbuy, NT",", , , "
Nightcliff Primary School,(08) 8948 8488,nightcliff.ps@education.nt.gov.au,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT"
Nightcliff Middle School,(08) 898 37677,admin.nightms@education.nt.gov.au,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT"
Nhulunbuy High School,(08) 898 70844,nhulunbuy.high@education.nt.gov.au,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT"
Nhulunbuy Primary School,(08) 898 70022,nps.frontoffice@education.nt.gov.au,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT"
Nganmarriyanga School,(08) 8978 2380,jen.robson@education.nt.gov.au,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT"
Nganambala School,(08) 8978 2001,samuel.sailor@education.nt.gov.au,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT"
Ngukurr School,(08) 8975 4680,ngukurr.cec@education.nt.gov.au,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT"
Ngukurr Pre School,(08) 8975 4680,,"Bawuda St, Ngukurr, NT",", , , "
Nhulunbuy Christian School,(08) 8965 2900,admin.ncc@ntschools.net,"N/A, Nhulunbuy, NT","PO Box 621, Nhulunbuy, 0881, NT"
Newcastle Waters School,(08) 8964 4566,sabina.armstrong@education.nt.gov.au,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT"
Neutral Junction School,(08) 8956 9754,ruth.rawnsley@education.nt.gov.au,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT"
Nemarluk School,(08) 898 50400,admin.nemarluk@education.nt.gov.au,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT"
Nakara Pre School,(08) 8927 9823,,"35 Nakara Tce, Nakara, NT",", , , "
Murrupurtiyanuwu Catholic Primary School,(08) 8978 3986,admin.mcs@nt.catholic.edu.au,"Kerinauia Highway, Nguiu, NT","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT"
Mutitjulu School,(08) 8956 2547,mutitjulu.school@education.nt.gov.au,"Mutitjulu, Ayers Rock, NT","PO Box 121, Yulara, 0872, NT"
Nathalie Gorey Pre School,(08) 8952 1186,,"80 Spearwood Rd, Alice Springs, NT",", , , "
Mulga Bore School,(08) 8956 9824,sundayt.taite@education.nt.gov.au,"n/a, Mulga Bore Community, NT","PMB 18, via Alice Springs, 0872, NT"
Nawardekken Academy,tba,tba,"tba, tba, NT","tba, tba, tba, NT"
Murray Downs School,(08) 8964 1951,mitchell.valentine@education.nt.gov.au,"Outstation, Murray Downs(Imangara), NT","PMB 48, Alice Springs, 0872, NT"
Nakara Primary School,(08) 8927 9823,nakara.primary@education.nt.gov.au,"35 Nakara Tce, Nakara, 0810, NT","35 Nakara Tce, Nakara, 0810, NT"
Moulden Pre School,(08) 8930 5965,,"103 Bonson Tce, Moulden, NT",", , , "
Mount Allan School,(08) 8956 8860,dowreen.lata@education.nt.gov.au,"N/A, Yuelamu, NT","PMB  6, Mount Allan School via Alice Springs, 0872, NT"
Moil Pre School,(08) 898 37535,,"Moil Crescent, Moil, NT",", , , "
Moulden Primary School,(08) 8930 5900,moulden.primary@education.nt.gov.au,"103 Bonson Tce, Moulden, 0830, NT","PO Box 80, PALMERSTON, 0831, NT"
Mother Teresa Catholic Primary School,(08) 7969 5600,principal.motherteresa@nt.catholic.edu.au,"Ginger St, Zuccoli, NT","PO Box 1125, Palmerston, 0830, "
Minyerri Pre School,(08) 8975 9972,,"N/A, Minyerri (Hodgson Downs), NT",", , , "
Minyerri School,(08) 8975 9972,theo.debeer@education.nt.gov.au,"N/A, Minyerri (Hodgson Downs), NT","PMB 40, KATHERINE, 0851, NT"
Moil Primary School,(08) 898 37530,admin.moilsch@education.nt.gov.au,"37 Lanyon Tce, Moil, 0810, NT","37 Lanyon Tce, MOIL, 0810, NT"
Milkwood Steiner,08 8947 0608,admin@milkwood.nt.edu.au,"107 Boulter Road, Berrimah NT 0828, Marrara, NT","PO Box 319, Karama, 0812, NT"
Millner Pre School,(08) 792 30333,,"41 Sabine Rd, Millner, NT",", , , "
Milyakburra School,(08) 8987 6084,leah.carroll@education.nt.gov.au,"N/A, Milyakburra (Bickerton Island), NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT"
Mimik-Ga Centre,(08) 898 37900,admin.mimik-ga@education.nt.gov.au,"4 Henbury Ave, Wanguri, 0810, NT","PO Box 40519, Casuarina, 0811, NT"
Milingimbi School,(08) 8987 9902,adam.dicks1@education.nt.gov.au,"N/A, Milingimbi, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT"
Middle Point School,(08) 8988 1688,middle.pt@education.nt.gov.au,"615 Anzac Pde, Middle Point, NT","PO Box 96, Humpty Doo, 0836, NT"
Millner Primary School,(08) 792 30333,admin.millnerps@education.nt.gov.au,"41 Sabine Rd, Millner, 0810, NT","41 Sabine Rd, MILLNER, 0810, NT"
Milikapiti School,(08) 8978 3960,chris.armstrong1@education.nt.gov.au,"N/A, Milikapiti (Snake Bay), NT","PMB 96, via Winnellie, 0822, NT"
Mbunghara School,(08) 8956 8503,mbunghara.school@education.nt.gov.au,"N/A, Mbunghara, NT","PMB 242, via Alice Springs, 0872, NT"
Mataranka School,(08) 8975 4543,jennifer.jenkins@education.nt.gov.au,"Roper Terrace, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT"
Marrara Christian School,(08) 8920 2000,admin.mcc@ntschools.net,"110 Amy Johnson Ave, Marrara, NT","PO Box 84, Karama, 0812, NT"
Manunda Terrace Pre School,(08) 899 77366,,"31 Manunda Tce, Karama, NT",", , , "
Manunda Terrace Primary School,(08) 899 77366,manunda.school@education.nt.gov.au,"31 Manunda Tce, Karama, 0812, NT","31 Manunda Tce, KARAMA, 0812, NT"
Manyallaluk School,(08) 8975 4438,admin.manyasch@education.nt.gov.au,"N/A, Manyallaluk (Eva Valley), NT","PO Box 271, Katherine, 0851, Nt"
Mapuru Yirralka College,(08) 8970 4996,debra.bateman@ntschools.net,"Dhabulu Rd, Mapuru, NT 0822, NT","PMB 301, Winnellie, 0821, NT"
Maningrida College,(08) 8979 5950,maningrida.cec@education.nt.gov.au,"n/a, Maningrida, 0822, NT","PMB 67, via Winnellie, 0822, NT"
Mamaruni School,(08) 8979 0255,tracy.brislane@education.nt.gov.au,"N/A, Minjilang (Croker Is), NT","PMB 47, via Winnellie, 0822, NT"
Malak Pre School,(08) 899 77600,,"45 Malak Cres, Malak, NT",", , , "
Malak Primary School,(08) 899 77600,admin.malak@education.nt.gov.au,"45 Malak Cres, Malak, 0812, NT","45 Malak Crescent, MALAK, 0812, NT"
Ludmilla Pre School,(08) 898 37889,,"41 Bagot Rd, Ludmilla, NT",", , , "
MacFarlane Pre School,(08) 8972 3069,,"Grevillea Rd, Katherine East, NT",", , , "
MacFarlane Primary School,(08) 896 51700,admin.macfasch@education.nt.gov.au,"42 Grevillea Rd, Katherine East, 0850, NT","42 Grevillea Road, KATHERINE EAST, 0850, NT"
Ludmilla Primary School,(08) 898 37888,admin.ludmilla@education.nt.gov.au,"41 Bagot Rd, Ludmilla, 0820, NT","PO Box 39945, WINNELLIE, 0821, NT"
Mackillop Catholic College,08 8930 5757,mackillopcollege@nt.catholic.edu.au,"285 Farrar Boulevard, Johnston, NT","P O Box 2608, Palmerston, 0831, NT"
Ltyentye Apurte CEC,(08) 8956 0937,la.admin@nt.catholic.edu.au,"N/A, Santa Teresa (Ltyenty Apurte), NT","Santa Teresa, PMB 221, via A/Springs, 0871, NT"
Living Waters Lutheran School,(08) 8950 0700,living.waters@ntschools.net,"Cnr Albrecht Dr & Kramer St, Alice Springs, NT","PO Box 8869, Alice Springs, 0871, NT"
Leanyer Pre School,(08) 8927 4022,,"114 Leanyer Dr, Leanyer, NT",", , , "
Larrakeyah Pre School,(08) 8981 9091,,"3 Packard St, Larrakeyah, NT",", , , "
Leanyer Primary School,(08) 8927 4022,admin.leanyer@education.nt.gov.au,"114 Leanyer Drive,, Leanyer, 0812, NT","114 Leanyer Drive, LEANYER, 0812, NT"
Laynhapuy Homelands School,(08) 898 71224,lhs.admin@ntschools.net,"Galpu Rd, Yirrkala, NT","PMB 747, Nhulunbuy, 0881, NT"
Larrakeyah Primary School,(08) 8981 3211,larrakeyah.admin@education.nt.gov.au,"3 Packard St, Larrakeyah, 0820, NT","PO Box 412, DARWIN, 0801, NT"
Larapinta Primary School,(08) 895 85155,larapinta.primary@education.nt.gov.au,"22 Albrecht Dr, Alice Springs, NT","PO Box 9021, ALICE SPRINGS, 0871, NT"
Larapinta Pre School,(08) 895 85145,,"22 Albrecht Dr, Alice Springs, NT",", , , "
Laramba School,(08) 8956 8771,laramba.school@education.nt.gov.au,"N/A, Laramba (Napperby), NT","PMB 213, via Alice Springs, 0872, NT"
Lajamanu School,(08) 8975 0946,admin.lajamcec@education.nt.gov.au,"N/A, Lajamanu ( Hooker Ck), NT","PMB 63, via Katherine, 0851, NT"
Lajamanu Pre School,(08) 89750 946,,"N/A, Lajamanu (Hooker Ck), NT",", , , "
Kintore Street Pre School,(08) 8973 3888,,"11 Kintore St, Katherine, NT",", , , "
Kiana School,(08) 8975 9820,tba,"N/A, Kiana, NT","PMB 33, via Tennanat Creek, 0861, NT"
Katherine South Pre School,(08) 8972 1277,,"Riverbank Drive, Katherine, NT",", , , "
Kintore Street School,(08) 8973 3888,kintore.admin@education.nt.gov.au,"11 Kintore St, Katherine, 0872, NT","PO Box 1931, KATHERINE, 0851, NT"
Katherine South Primary School,(08) 8972 1277,admin.kathesch@education.nt.gov.au,"Riverbank Dr, Katherine, 0850, NT","PO Box 721, KATHERINE, 0851, NT"
Katherine School Of The Air,(08) 896 51555,kath.soa@education.nt.gov.au,"101 Giles St, Katherine, 0850, NT","PO Box 531, KATHERINE, 0851, NT"
Katherine Flexible Learning Centre,(08) 897 38200,tba,"5 Kintore St, Katherine, 0850, NT","PO Box 189, Katherine, 0851, NT"
Karama Primary School,(08) 898 37700,karama.school@education.nt.gov.au,"37 Livistona Rd, Karama, 0812, NT","PO Box 103, Karama, 0813, NT"
Karama Pre School,(08) 898 37711,,"37 Livistona Rd, Karama, NT",", , , "
Kalkaringi School,(08) 896 51888,anne.saunders@education.nt.gov.au,"Whitlam st, Kalkaringi (Wave hill), NT","PMB 41, KATHERINE, 0852, NT"
Kalkaringi Pre School,(08) 8965 1888,,"Whitlam St, Kalkaringi (Wave hill), NT",", , , "
Katherine High School,(08) 897 38200,admin.kathehs@education.nt.gov.au,"Grevillea Rd, Katherine East, 0850, NT","PO Box 189, KATHERINE, 0851, NT"
Jingili Preschool,(08) 8985 3495,,"10 Jingili Tce, Jingili, NT",", , , "
Jingili Primary School,(08) 898 37555,jingili.school@education.nt.gov.au,"17 Rindberg St, Jingili, 0810, NT","PO Box 40600, CASUARINA, 0810, NT"
Jabiru Pre School,(08) 8938 3333,,"40 Waterhouse Rd, Jabiru, NT",", , , "
Jilkminggan School,(08) 8975 4896,admin.jilkmsch@education.nt.gov.au,"N/A, Jilkminggan (Duck Creek), NT","PO Box 4054, Mataranka, 0852, NT"
